height,version,mrkl_root,timestamp,Time Interval,Date,bits,Bitcoins,nonce,hash,prev_block_hash,next_block_hash,size,pool_difficulty,difficulty,difficulty_double,tx_count,reward_block,reward_fees,confirmations,is_orphan,curr_max_timestamp,is_sw_block,stripped_size,sigops,weight,extras/pool_name,extras/pool_link
797328,998334464,f0d680412c5742f6ddf8649f857369d8629f615c7ca5cdbf3bf7e084c48923ff,1688578985,470,7/5/23,386240190,386,2321470575,00000000000000000003c7c34a814af5842fa974bd2477ec3819166710c52c30,000000000000000000037fe3a7b116cc21ee33b614618b2c5009538c1c58ec82,000000000000000000021aa49b3f20b8a283315c136b9842af93c31c528c824b,1685607,7.45E+13,5.06E+13,5.06E+13,2369,625000000,16479301,2131,FALSE,1688578985,TRUE,769054,13381,3992769,Foundry USA,https://foundrydigital.com/
797327,555180032,23259dce21ae48c81972c36ad209b6276e702d6aee13879f39e68c7b5ef6c082,1688578515,619,7/5/23,386240190,386,486849095,000000000000000000037fe3a7b116cc21ee33b614618b2c5009538c1c58ec82,00000000000000000002a30211113ba9c8de147ee2ad56193a0abfc9afb27020,00000000000000000000ce04e19d23d8b24c3f7e3f68a71915434a717c90fdb3,1514333,8.04E+13,5.06E+13,5.06E+13,2916,625000000,18684469,2132,FALSE,1688578515,TRUE,826236,13507,3993041,Foundry USA,https://foundrydigital.com/
797326,536993792,bed7a3ad4de4ea0577b594581da10d2ab4ddf49f16dd80609c17b16c42d74252,1688577896,496,7/5/23,386240190,386,2281451842,00000000000000000002a30211113ba9c8de147ee2ad56193a0abfc9afb27020,0000000000000000000415441c4a6cccb4056d9950a3acbc5db27e3c09dc4306,0000000000000000000045d2e59b251b8de277f7bba45e3fd13d92a3f96fc8cf,1732008,1.07E+14,5.06E+13,5.06E+13,2782,625000000,18313870,2133,FALSE,1688577896,TRUE,753673,15891,3993027,Binance Pool,https://pool.binance.com/
797325,649494528,ee1a12f44799c1a9550eb8811d6d7d603dc5a8ede9821bdc2d8f8cc3ce3b5105,1688577400,633,7/5/23,386240190,386,2087281264,0000000000000000000415441c4a6cccb4056d9950a3acbc5db27e3c09dc4306,000000000000000000002e7f8de8c4a74b073378c33524b4077b2259e81e6e1f,00000000000000000004839468ad880acd62815d96fc14e6f020aaced1ac7576,1640864,6.89E+13,5.06E+13,5.06E+13,2856,625000000,21655960,2134,FALSE,1688577400,TRUE,784144,16761,3993296,AntPool,https://www.antpool.com/
797324,545259520,d723e2a43fcdf498da6d0da43ee6656924bd8febe81cb23bb37d7e1c7ea78f93,1688576767,269,7/5/23,386240190,386,1579559715,000000000000000000002e7f8de8c4a74b073378c33524b4077b2259e81e6e1f,00000000000000000001c51e82833a06aa7a8c9e736fe76fb194ce8f22d4a5fb,0000000000000000000415441c4a6cccb4056d9950a3acbc5db27e3c09dc4306,1604895,1.55E+15,5.06E+13,5.06E+13,3780,625000000,20059717,2135,FALSE,1688576767,TRUE,796160,16432,3993375,AntPool,https://www.antpool.com/
797323,886308864,27eea66d90a19be14b0a16f6410c049f935b2a62f15a52a1785815714b3fcb4c,1688576498,2516,7/5/23,386240190,386,697223688,00000000000000000001c51e82833a06aa7a8c9e736fe76fb194ce8f22d4a5fb,0000000000000000000495404cf4f2f13e159471406da8f706ffe68bbb398c1b,00000000000000000002416cb404a5c5bb2a371ed8bc3c55b9f777a96adda0cc,1469893,1.59E+14,5.06E+13,5.06E+13,3066,625000000,33979704,2136,FALSE,1688576498,TRUE,842639,17778,3997810,F2Pool,https://www.f2pool.com/
797322,755679232,c37eb09d4ffdce2cdf123b7fa9d355cb1254c58556dbe83f7eef61029671e62e,1688573982,261,7/5/23,386240190,386,148423764,0000000000000000000495404cf4f2f13e159471406da8f706ffe68bbb398c1b,000000000000000000021aa49b3f20b8a283315c136b9842af93c31c528c824b,00000000000000000001c51e82833a06aa7a8c9e736fe76fb194ce8f22d4a5fb,1465752,6.14E+13,5.06E+13,5.06E+13,2257,625000000,19887848,2137,FALSE,1688573982,TRUE,842606,11536,3993570,AntPool,https://www.antpool.com/
797321,735592452,5478375cc6fba6bd8006c7b28e5b87e24eb3f95250060e5d6b34bbea19132bec,1688573721,1367,7/5/23,386240190,386,3427845456,000000000000000000021aa49b3f20b8a283315c136b9842af93c31c528c824b,00000000000000000000ce04e19d23d8b24c3f7e3f68a71915434a717c90fdb3,0000000000000000000495404cf4f2f13e159471406da8f706ffe68bbb398c1b,1452249,1.34E+14,5.06E+13,5.06E+13,2697,625000000,23904415,2138,FALSE,1688573721,TRUE,847018,13323,3993303,Braiins Pool,https://braiins.com/pool
797320,1073676288,be67b262e5b2cc75d969894398938d30a42f8899ef090f1641a1054c90716ff7,1688572354,79,7/5/23,386240190,386,1000249040,00000000000000000000ce04e19d23d8b24c3f7e3f68a71915434a717c90fdb3,0000000000000000000045d2e59b251b8de277f7bba45e3fd13d92a3f96fc8cf,000000000000000000021aa49b3f20b8a283315c136b9842af93c31c528c824b,1590770,3.50E+14,5.06E+13,5.06E+13,2924,625000000,12962062,2139,FALSE,1688572354,TRUE,800759,11395,3993047,Foundry USA,https://foundrydigital.com/
797319,634724352,9813a2382770c7d4b11b643b4f515118128a46e700f47a735799d98923535714,1688572275,1540,7/5/23,386240190,386,2504906340,0000000000000000000045d2e59b251b8de277f7bba45e3fd13d92a3f96fc8cf,00000000000000000001415583131d3c1da985497830abcf638413226892d4ad,00000000000000000000ce04e19d23d8b24c3f7e3f68a71915434a717c90fdb3,1531947,1.03E+15,5.06E+13,5.06E+13,3358,625000000,26255689,2140,FALSE,1688572275,TRUE,820434,17861,3993249,ViaBTC,https://viabtc.com
797318,547356672,0ebca75decd824f0eb3e253af5295049e8515b36a6e5abc034dc48d6b5913f8d,1688570735,91,7/5/23,386240190,386,3832264295,00000000000000000001415583131d3c1da985497830abcf638413226892d4ad,00000000000000000001bdb53dc7431629d011a480082fc997aa5d7d38c480b0,00000000000000000003dccd45b7c279bd4f32f2fd3047bab696fba79653b761,2130312,2.24E+14,5.06E+13,5.06E+13,5712,625000000,6156337,2141,FALSE,1688570735,TRUE,620991,3389,3993285,Binance Pool,https://pool.binance.com/
