,Date,priceUSD,transactions,size,sentbyaddress,difficulty,hashrate,mining_profitability,sentinusdUSD,transactionfeesUSD,median_transaction_feeUSD,confirmationtime,transactionvalueUSD,mediantransactionvalueUSD,activeaddresses,top100cap,fee_to_rewardUSD,extras/pool_name
4146,11/23/21,56882,283269,640561,497766,2.27E+13,1.56E+20,0.306,58759053100,2.468,0.619,10.909,879733,739.65,794645,14.668,1.468,Braiins Pool
3941,5/2/21,56860,235029,826395,412840,2.06E+13,1.68E+20,0.42,12275331888,20.554,8.265,7.784,360724,840.168,1071125,14.832,6.85,Binance Pool
3890,3/12/21,56840,320594,884413,563869,2.14E+13,1.56E+20,0.383,30382121950,20.783,10.245,9.6,248755,984.937,1038846,14.135,11.119,SBI Crypto
3946,5/7/21,56818,307816,876361,598170,2.06E+13,1.77E+20,0.379,42781516993,19.265,8.647,8.372,358005,989.07,995365,14.925,8.854,Braiins Pool
3900,3/22/21,56801,297259,870478,547061,2.19E+13,1.71E+20,0.341,28248075312,16.246,7.381,9.536,248804,972.241,965418,14.379,8.268,F2Pool
4147,11/24/21,56748,298752,628281,519078,2.27E+13,1.67E+20,0.339,88877369427,2.663,0.673,9.172,929537,709.448,929968,14.631,1.409,Foundry USA
4155,12/2/21,56692,313106,822405,558192,2.23E+13,1.66E+20,0.337,57555066246,3.418,1.222,9.29,691370,684.693,1044904,14.737,1.912,unknown
4103,10/11/21,56648,280038,725740,517886,1.99E+13,1.50E+20,0.352,61029879355,4.189,1.436,9.863,882761,861.289,840172,14.753,2.22,AntPool
4104,10/12/21,56645,274021,738196,516478,1.99E+13,1.43E+20,0.338,47064176288,3.945,1.348,10.746,725758,848.771,831512,14.754,2.229,Foundry USA
3928,4/19/21,56387,208316,855365,427361,2.36E+13,1.14E+20,0.408,29892429385,58.418,26.889,14.845,346249,1503,751010,14.505,26.262,Foundry USA
3870,2/20/21,56272,320329,882088,543952,2.17E+13,1.63E+20,0.366,28636615639,25.968,12.975,9.863,385518,1147,999752,13.783,13.947,AntPool
3889,3/11/21,56264,291113,893181,537115,2.14E+13,1.47E+20,0.358,30327009188,21.468,11.063,10.909,325750,1105,939125,14.117,11.871,unknown
3895,3/17/21,56137,295983,900627,568062,2.14E+13,1.54E+20,0.349,25799457635,20.073,11.225,10.588,276690,1011,971402,14.277,11.079,unknown
3927,4/18/21,56083,274611,900314,449307,2.36E+13,1.28E+20,0.434,42645634219,43.853,19.648,11.613,337989,1116,954286,14.568,21.703,AntPool
4105,10/13/21,56000,288747,627340,519221,1.99E+13,1.44E+20,0.418,34729840593,3.264,1.093,8.521,631362,721.621,863446,14.71,1.569,MARA Pool
3951,5/12/21,55961,300280,866785,575074,2.06E+13,1.74E+20,0.371,40783825308,14.347,5.866,8.372,290172,1035,1083920,15.184,6.686,MARA Pool
4149,11/26/21,55921,292513,720365,541991,2.27E+13,1.38E+20,0.34,95852975754,2.786,0.988,10.909,960186,773.348,871237,14.606,1.737,Binance Pool
3944,5/5/21,55872,309617,873874,598865,2.06E+13,1.73E+20,0.348,35491127512,18.029,8.533,9.172,329957,995.399,1063848,14.893,9.245,F2Pool
4156,12/3/21,55868,289971,581741,554089,2.23E+13,1.79E+20,0.331,47501113911,2.559,0.921,8.571,674606,732.61,901449,14.701,1.25,Foundry USA
3950,5/11/21,55852,311943,866430,605733,2.06E+13,1.74E+20,0.37,28925341353,14.645,6.385,8.372,215614,988.428,1032122,15.035,7.074,F2Pool
3906,3/28/21,55835,248446,876628,418298,2.19E+13,1.73E+20,0.339,18020695813,13.035,5.247,9.057,206956,755.722,925338,14.281,5.518,AntPool
3929,4/20/21,55518,279849,877935,536926,2.36E+13,1.37E+20,0.448,67407460741,59.878,26.442,11.25,370719,1219,965161,14.523,27.402,unknown
3930,4/21/21,55452,225920,895948,467300,2.36E+13,1.32E+20,0.372,66373161965,62.779,28.392,14.257,473725,1284,787582,14.522,28.844,Foundry USA
3888,3/10/21,55356,344539,898425,580651,2.14E+13,1.54E+20,0.375,28894685618,17.716,9.383,9.664,274143,1014,1027662,14.107,10.591,Foundry USA
